[zhidao.baidu.com,57737]
[wenwen.soso.com,28466]
[tv.sogou.com,27862]
[baike.baidu.com,22428]
[www.youku.com,15361]
[www.baidu.com,14573]
[wenku.baidu.com,13365]
[tieba.baidu.com,12642]
[www.tudou.com,12446]
[v.youku.com,12197]
